N�MERO_PEDIDO;QUANTIDADE_ENCOMENDADA; PRE�O_CADA ;N�MERO_LINHA_ORDEM; VENDA ;DATA_PEDIDO;STATUS;LINHA_PRODUTO;NOME_CLIENTE;ENDERE�O;CIDADE;PAIS;CONTATO_SOBRENOME;CONTATO_NOME;TAMANHO_NEG�CIO
10107;30; $95,70 ;2; $2.871,80 ;24/02/2018;Shipped;Motorcycles;Land of Toys Inc.;897 Long Airport Avenue;NYC;USA;Yu;Kwai;Small
10121;34; $81,35 ;5; $2.765,90 ;07/05/2018;Shipped;Motorcycles;Reims Collectables;59 rue de l'Abbaye;Reims;France;Henriot;Paul;Small
10134;41; $94,74 ;2; $3.884,34 ;01/07/2018;Shipped;Motorcycles;Lyon Souveniers;27 rue du Colonel Pierre Avia;Paris;France;Da Cunha;Daniel;Medium
10145;45; $83,26 ;6; $3.746,70 ;25/08/2018;Shipped;Motorcycles;Toys4GrownUps.com;78934 Hillside Dr.;Pasadena;USA;Young;Julie;Medium
10168;36; $96,66 ;1; $3.479,76 ;28/10/2018;Shipped;Motorcycles;Technics Stores Inc.;9408 Furth Circle;Burlingame;USA;Hirano;Juri;Medium
10180;29; $86,13 ;9; $2.497,77 ;11/11/2018;Shipped;Motorcycles;Daedalus Designs Imports;184, chausse de Tournai;Lille;France;Rance;Martine;Small
10188;48; $114,84 ;1; $5.512,32 ;18/11/2018;Shipped;Motorcycles;Herkku Gifts;Drammen 121, PR 744 Sentrum;Bergen;Norway;Oeztan;Veysel;Medium
10211;41; $114,84 ;14; $4.708,44 ;15/01/2019;Shipped;Motorcycles;Auto Canal Petit;25, rue Lauriston;Paris;France;Perrier;Dominique;Medium
10223;37; $107,18 ;1; $3.965,66 ;20/02/2019;Shipped;Motorcycles;Australian Collectors, Co.;636 St Kilda Road;Melbourne;Australia;Ferguson;Peter;Medium
10237;23; $101,44 ;7; $2.333,12 ;05/04/2019;Shipped;Motorcycles;Vitachrome Inc.;2678 Kingston Rd.;NYC;USA;Frick;Michael;Small
10251;28; $113,88 ;2; $3.188,64 ;18/05/2019;Shipped;Motorcycles;Tekni Collectables Inc.;7476 Moss Rd.;Newark;USA;Brown;William;Medium
10263;34; $108,14 ;2; $3.676,76 ;28/06/2019;Shipped;Motorcycles;Gift Depot Inc.;25593 South Bay Ln.;Bridgewater;USA;King;Julie;Medium
10275;45; $92,83 ;1; $4.177,35 ;23/07/2019;Shipped;Motorcycles;La Rochelle Gifts;67, rue des Cinquante Otages;Nantes;France;Labrune;Janine;Medium
10285;36; $113,88 ;6; $4.099,68 ;27/08/2019;Shipped;Motorcycles;Marta's Replicas Co.;39323 Spinnaker Dr.;Cambridge;USA;Hernandez;Marta;Medium
10299;23; $112,93 ;9; $2.597,39 ;30/09/2019;Shipped;Motorcycles;Toys of Finland, Co.;Keskuskatu 45;Helsinki;Finland;Karttunen;Matti;Small
10309;41; $107,18 ;5; $4.394,38 ;15/10/2019;Shipped;Motorcycles;Baane Mini Imports;Erling Skakkes gate 78;Stavern;Norway;Bergulfsen;Jonas;Medium
10318;46; $94,74 ;1; $4.358,04 ;02/11/2019;Shipped;Motorcycles;Diecast Classics Inc.;7586 Pompton St.;Allentown;USA;Yu;Kyung;Medium
10329;42; $104,67 ;1; $4.396,14 ;15/11/2019;Shipped;Motorcycles;Land of Toys Inc.;897 Long Airport Avenue;NYC;USA;Yu;Kwai;Medium
10341;41; $188,73 ;9; $7.737,93 ;24/11/2019;Shipped;Motorcycles;Salzburg Collectables;Geislweg 14;Salzburg;Austria;Pipps;Georg;Large
10361;20; $72,55 ;13; $1.451,00 ;17/12/2019;Shipped;Motorcycles;Souveniers And Things Co.;Monitor Money Building, 815 Pacific Hwy;Chatswood;Australia;Huxley;Adrian;Small
10375;21; $34,91 ;12; $733,11 ;03/02/2020;Shipped;Motorcycles;La Rochelle Gifts;67, rue des Cinquante Otages;Nantes;France;Labrune;Janine;Small
10388;42; $76,36 ;4; $3.207,12 ;03/03/2020;Shipped;Motorcycles;FunGiftIdeas.com;1785 First Street;New Bedford;USA;Benitez;Violeta;Medium
10403;24; $101,44 ;7; $2.434,56 ;08/04/2020;Shipped;Motorcycles;UK Collectables, Ltd.;Berkeley Gardens 12  Brewery;Liverpool;UK;Devon;Elizabeth;Small
10417;66; $113,88 ;2; $7.516,08 ;13/05/2020;Disputed;Motorcycles;Euro Shopping Channel;C/ Moralzarzal, 86;Madrid;Spain;Freyre;Diego;Large
